T:\DATA_2019\Etude_supercarburants_SVI\ech_01_hydro.D Fri Jan 10 12:35:05 2020,
Start of data points,Area
3.3216,529473
3.32542,425325
3.32922,337764
3.33303,269993
3.33685,220219
3.34067,185641
3.34447,162219
3.34828,144874
3.3521,130447
3.35592,117110
3.35972,104868
3.36353,93432
3.36735,84233
3.37117,81648
3.37497,91901
3.37878,123051
3.3826,180682
3.38642,262569
3.39022,353848
3.39403,429417
3.39785,464071
3.40167,448326
3.40547,394813
3.40928,340561
3.4131,354058
3.41692,557333
3.42072,1148380
3.42453,2351757
3.42835,4262402
3.43217,6652271
3.43598,8974866
3.43978,1.06E+07
3.4436,1.11E+07
3.44742,1.04E+07
3.45123,8830626
3.45503,6942640
3.45885,5188951
3.46267,3850608
3.46648,2967736
3.47028,2473178
3.4741,2256030
3.47792,2231733
3.48173,2340674
3.48553,2520033
3.48935,2695216
3.49317,2788454
3.49698,2766401
3.50078,2658695
3.5046,2566167
3.50842,2596672
3.51223,2791551
3.51603,3093874
3.51985,3369147
3.52367,3474079
3.52748,3338145
3.53128,2997442
3.5351,2560862
3.53892,2146152
3.54273,1832033
3.54653,1634868
3.55035,1512397
3.55417,1404006
3.55798,1275473
3.5618,1129487
3.5656,993436
3.56942,897240
3.57323,853938
3.57705,850979
3.58085,854908
3.58467,833567
3.58848,769120
3.5923,675383
3.5961,580423
3.59992,513874
3.60373,489088
3.60755,498215
3.61135,518612
3.61517,523460
3.61898,499391
3.6228,453493
3.6266,401401
3.63042,369420
3.63423,380650
3.63805,447732
3.64185,570094
3.64567,737209
3.64948,929989
3.6533,1123618
3.6571,1291160
3.66092,1406718
3.66473,1443309
3.66855,1384350
3.67237,1239890
3.67617,1044968
3.67998,847087
3.6838,691605
3.68762,612829
3.69142,627113
3.69523,727883
3.69905,883901
3.70287,1039777
3.70667,1139576
3.71048,1150894
3.7143,1071922
3.71812,932491
3.72192,782767
3.72573,672772
3.72955,630558
3.73337,656127
3.73717,723030
3.74098,788948
3.7448,815819
3.74862,784253
3.75242,698079
3.75623,579954
3.76005,458852
3.76387,356321
3.76767,281272
3.77148,232065
3.7753,202221
3.77912,184622
3.78293,172249
3.78673,159798
3.79055,145123
3.79437,128979
3.79818,112866
3.80198,99300
3.8058,92364
3.80962,96621
3.81343,119727
3.81723,171836
3.82105,263935
3.82487,398533
3.82868,561840
3.83248,729581
3.8363,878128
3.84012,1000619
3.84393,1121274
3.84773,1281814
3.85155,1512364
3.85537,1821050
3.85918,2200840
3.86298,2642578
3.8668,3134924
3.87062,3644027
3.87443,4090757
3.87823,4365732
3.88205,4378198
3.88587,4104884
3.88968,3603873
3.8935,2988375
3.8973,2377203
3.90112,1852815
3.90493,1450020
3.90875,1168386
3.91255,983246
3.91637,859746
3.92018,768519
3.924,691150
3.9278,617531
3.93162,543387
3.93543,469285
3.93925,398544
3.94305,332683
3.94687,273859
3.95068,222242
3.9545,179518
3.9583,145341
3.96212,119206
3.96593,100339
3.96975,88365
3.97355,83540
3.97737,85240
3.98118,98644
3.985,125398
3.9888,161990
3.99262,207630
3.99643,256568
4.00025,301611
4.00405,337591
4.00787,358072
4.01168,367890
4.0155,389616
4.01932,457984
4.02312,626033
4.02693,952333
4.03075,1472175
4.03457,2153809
4.03837,2880807
4.04218,3483080
4.046,3812624
4.04982,3794559
4.05362,3469804
4.05743,2981693
4.06125,2527160
4.06507,2297664
4.06887,2434921
4.07268,2982609
4.0765,3843464
4.08032,4799954
4.08412,5581355
4.08793,5972317
4.09175,5897632
4.09557,5436958
4.09937,4768431
4.10318,4090635
4.107,3542428
4.11082,3157664
4.11462,2885971
4.11843,2649201
4.12225,2388244
4.12607,2085779
4.12988,1762626
4.13368,1454146
4.1375,1186160
4.14132,965559
4.14513,789894
4.14893,652618
4.15275,543275
4.15657,453143
4.16038,377638
4.16418,314732
4.168,262043
4.17182,218038
4.17563,182235
4.17943,153404
4.18325,130178
4.18707,110610
4.19088,93788
4.19468,79549
4.1985,68246
4.20232,61301
4.20613,61786
4.20993,74552
4.21375,109938
4.21757,186522
4.22138,326150
4.22518,547917
4.229,857496
4.23282,1232983
4.23663,1622616
4.24045,1938672
4.24425,2114255
4.24807,2116987
4.25188,1959578
4.2557,1692545
4.2595,1385620
4.26332,1096358
4.26713,858751
4.27095,682986
4.27475,562301
4.27857,483711
4.28238,428503
4.2862,386024
4.29,350522
4.29382,318119
4.29763,285740
4.30145,252947
4.30525,220397
4.30907,188991
4.31288,159831
4.3167,133524
4.3205,110904
4.32432,91076
4.32813,75046
4.33195,62758
4.33575,53405
4.33957,47122
4.34338,42773
4.3472,40084
4.351,38515
4.35482,38026
4.35863,39164
4.36245,42465
4.36627,48742
4.37007,58979
4.37388,73329
4.3777,92494
4.38152,117224
4.38532,150359
4.38913,196767
4.39295,262228
4.39677,348802
4.40057,455259
4.40438,568383
4.4082,670327
4.41202,744554
4.41582,788688
4.41963,826703
4.42345,914696
4.42727,1135836
4.43107,1581600
4.43488,2298419
4.4387,3244634
4.44252,4267369
4.44632,5146104
4.45013,5684034
4.45395,5785461
4.45777,5469188
4.46157,4843962
4.46538,4059709
4.4692,3266771
4.47302,2574664
4.47683,2031090
4.48063,1632986
4.48445,1351185
4.48827,1148696
4.49208,993769
4.49588,865064
4.4997,752023
4.50352,651929
4.50733,567378
4.51113,501919
4.51495,458603
4.51877,450932
4.52258,508518
4.52638,685680
4.5302,1058038
4.53402,1693054
4.53783,2597478
4.54163,3686682
4.54545,4785920
4.54927,5682203
4.55308,6200869
4.55688,6266997
4.5607,5925616
4.56452,5310992
4.56833,4606734
4.57213,3998458
4.57595,3616698
4.57977,3489726
4.58358,3547788
4.5874,3660982
4.5912,3701466
4.59502,3582881
4.59883,3287712
4.60265,2863926
4.60645,2396076
4.61027,1961972
4.61408,1611216
4.6179,1362908
4.6217,1213513
4.62552,1139509
4.62933,1109802
4.63315,1096006
4.63695,1075116
4.64077,1031292
4.64458,955181
4.6484,848357
4.6522,724310
4.65602,602112
4.65983,496923
4.66365,417309
4.66745,366813
4.67127,349053
4.67508,366523
4.6789,427235
4.6827,552496
4.68652,774224
4.69033,1119619
4.69415,1594907
4.69795,2156956
4.70177,2721367
4.70558,3175678
4.7094,3428095
4.71322,3437634
4.71702,3224728
4.72083,2861180
4.72465,2441456
4.72847,2048881
4.73227,1733550
4.73608,1503093
4.7399,1339205
4.74372,1217195
4.74752,1113842
4.75133,1014366
4.75515,918458
4.75897,837641
4.76277,780928
4.76658,746350
4.7704,726975
4.77422,712840
4.77802,693393
4.78183,660933
4.78565,613451
4.78947,555061
4.79327,495505
4.79708,444600
4.8009,409422
4.80472,392635
4.80852,391998
4.81233,403300
4.81615,426971
4.81997,470312
4.82378,561413
4.82758,751242
4.8314,1109093
4.83522,1701352
4.83903,2556592
4.84283,3656421
4.84665,4964455
4.85047,6494614
4.85428,8352157
