Retention time,Abundance
2.494,3441578
2.498,3164831
2.502,3058295
2.505,3007073
2.509,2936754
2.513,2804729
2.517,2581038
2.52,2256468
2.524,1864257
2.528,1469113
2.531,1131850
2.535,881054
2.539,712556
2.542,606057
2.546,539420
2.55,493532
2.554,451930
2.557,407118
2.561,355663
2.565,311482
2.568,272812
2.572,238172
2.576,205576
2.579,174430
2.583,146762
2.587,124279
2.59,107469
2.594,96495
2.598,89818
2.602,85965
2.605,83341
2.609,81474
2.613,79761
2.616,77571
2.62,74023
2.624,69980
2.627,66358
2.631,63734
2.635,62282
2.638,62644
2.642,68035
2.646,82159
2.65,102781
2.653,119651
2.657,125469
2.661,121730
2.664,113397
2.668,104519
2.672,97221
2.675,92166
2.679,88781
2.683,87677
2.687,89044
2.69,91507
2.694,94266
2.698,96154
2.701,97535
2.705,97840
2.709,97156
2.712,93023
2.716,86403
2.72,79158
2.723,72659
2.727,67802
2.731,65204
2.735,65380
2.738,70753
2.742,84515
2.746,111054
2.749,153912
2.753,214506
2.757,291797
2.76,382293
2.764,484635
2.768,592263
2.772,712198
2.775,843689
2.779,970378
2.783,1060926
2.786,1083330
2.79,1026600
2.794,906849
2.797,750939
2.801,602833
2.805,475796
2.808,375393
2.812,297751
2.816,238125
2.82,192782
2.823,157958
2.827,131611
2.831,113132
2.834,101846
2.838,96437
2.842,96780
2.845,103451
2.849,118773
2.853,148583
2.857,197702
2.86,267273
2.864,353786
2.868,454534
2.871,555137
2.875,661608
2.879,782716
2.882,934590
2.886,1135176
2.89,1399419
2.893,1733592
2.897,2136518
2.901,2593019
2.905,3064264
2.908,3490449
2.912,3802121
2.916,3953993
2.919,3970595
2.923,3949433
2.927,3997548
2.93,4167742
2.934,4428955
2.938,4673117
2.942,4757436
2.945,4589025
2.949,4185512
2.953,3659142
2.956,3145446
2.96,2737795
2.964,2459013
2.967,2277274
2.971,2129997
2.975,1955469
2.978,1725232
2.982,1451294
2.986,1166177
2.99,903631
2.993,685000
2.997,511644
3.001,384545
3.004,291004
3.008,225934
3.012,185889
3.015,171876
3.019,191782
3.023,262341
3.027,410092
3.03,646311
3.034,975156
3.038,1382173
3.041,1852431
3.045,2382999
3.049,2972994
3.052,3606051
3.056,4212707
3.06,4673047
3.063,4860260
3.067,4703578
3.071,4225540
3.075,3547137
3.078,2814295
3.082,2140923
3.086,1590086
3.089,1171499
3.093,861729
3.097,635895
3.1,468986
3.104,350769
3.108,264511
3.111,200848
3.115,153155
3.119,119037
3.123,97063
3.126,84776
3.13,79999
3.134,80952
3.137,86818
3.141,97907
3.145,114075
3.148,135084
3.152,160868
3.156,190722
3.16,222441
3.163,255606
3.167,291442
3.171,331673
3.174,378595
3.178,436352
3.182,506966
3.185,584872
3.189,656720
3.193,711219
3.196,755633
3.2,798473
3.204,879570
3.208,1038837
3.211,1304693
3.215,1680935
3.219,2149135
3.222,2683204
3.226,3254021
3.23,3818931
3.233,4310509
3.237,4638725
3.241,4714573
3.245,4498463
3.248,4033587
3.252,3426845
3.256,2797636
3.259,2236829
3.263,1790125
3.267,1459113
3.27,1221186
3.274,1047963
3.278,914096
3.281,799429
3.285,686536
3.289,581785
3.293,486438
3.296,397651
3.3,321207
3.304,264769
3.307,224405
3.311,197154
3.315,178418
3.318,162563
3.322,146712
3.326,130965
3.33,116956
3.333,102734
3.337,88261
3.341,76250
3.344,69565
3.348,68453
3.352,69185
3.355,68389
3.359,66866
3.363,64800
3.366,63049
3.37,63292
3.374,67029
3.378,72233
3.381,78021
3.385,84290
3.389,91715
3.392,101615
3.396,115004
3.4,133537
3.403,163435
3.407,216674
3.411,311686
3.415,467221
3.418,695759
3.422,1010399
3.426,1394872
3.429,1843852
3.433,2338932
3.437,2834474
3.44,3247798
3.444,3489394
3.448,3513097
3.451,3337005
3.455,3009046
3.459,2569087
3.463,2074331
3.466,1605564
3.47,1218445
3.474,916237
3.477,688099
3.481,517925
3.485,406323
3.488,339316
3.492,306945
3.496,299092
3.5,308748
3.503,331337
3.507,364412
3.511,408666
3.514,464736
3.518,524986
3.522,577178
3.525,618102
3.529,631886
3.533,619794
3.536,582052
3.54,525450
3.544,461778
3.548,401947
3.551,350697
3.555,306969
3.559,270869
3.562,241036
3.566,220831
3.57,204943
3.573,192611
3.577,184748
3.581,180387
3.584,176524
3.588,171347
3.592,163778
3.596,154582
3.599,144745
3.603,136459
3.607,131208
3.61,128735
3.614,126641
3.618,122228
3.621,115973
3.625,108771
3.629,104594
3.633,101716
3.636,102999
3.64,113757
3.644,132443
3.647,161514
3.651,190625
3.655,223325
3.658,252881
3.662,273904
3.666,281795
3.669,274881
3.673,256162
3.677,230140
3.681,202528
3.684,179942
3.688,165707
3.692,159800
3.695,160106
3.699,165165
3.703,169753
3.706,170106
3.71,165941
3.714,159327
3.718,152831
3.721,147428
3.725,146782
3.729,150777
3.732,157638
3.736,162682
3.74,163891
3.743,158650
3.747,147220
3.751,130820
3.754,112097
3.758,93785
3.762,78021
3.766,66160
3.769,56679
3.773,50390
3.777,45842
3.78,42775
3.784,41240
3.788,41320
3.791,43296
3.795,48455
3.799,58936
3.803,75771
3.806,99876
3.81,131862
3.814,170929
3.817,216218
3.821,265969
3.825,323989
3.828,388305
3.832,476043
3.836,593091
3.839,748265
3.843,931929
3.847,1144775
3.851,1370814
3.854,1584708
3.858,1763703
3.862,1887935
3.865,1936111
3.869,1891229
3.873,1756098
3.876,1554638
3.88,1319411
3.884,1079838
3.888,858106
3.891,661822
3.895,503175
3.899,377056
3.902,281333
3.906,211266
3.91,159947
3.913,122506
3.917,95314
3.921,76733
3.924,63031
3.928,53249
3.932,46086
3.936,40538
3.939,35918
3.943,32703
3.947,30601
3.95,29515
3.954,29927
3.958,31565
3.961,34598
3.965,39228
3.969,45675
3.973,53037
3.976,60457
3.98,68764
3.984,78578
3.987,91803
3.991,112131
3.995,145816
3.998,200969
4.002,283807
4.006,398459
