Retention time,Abundance
2.494,2084876
2.498,1699883
2.502,1299125
2.506,944801
2.509,679124
2.513,511155
2.517,424341
2.52,391192
2.524,384043
2.528,380617
2.531,368004
2.535,339266
2.539,306794
2.542,273336
2.546,242666
2.55,213684
2.554,184163
2.557,154935
2.561,129071
2.565,108972
2.568,94995
2.572,86983
2.576,82773
2.579,81213
2.583,81996
2.587,83682
2.591,83599
2.594,80616
2.598,75956
2.602,70661
2.605,66509
2.609,64876
2.613,67230
2.616,77980
2.62,98160
2.624,119541
2.627,130824
2.631,129572
2.635,120423
2.639,109256
2.642,98297
2.646,88338
2.65,80398
2.653,75512
2.657,73486
2.661,74671
2.664,78541
2.668,82506
2.672,85934
2.676,88714
2.679,91221
2.683,93363
2.687,93514
2.69,89866
2.694,82953
2.698,74906
2.701,67508
2.705,62164
2.709,58811
2.712,57017
2.716,56042
2.72,56179
2.724,59187
2.727,66108
2.731,78785
2.735,100264
2.738,137302
2.742,201308
2.746,304605
2.749,449933
2.753,619829
2.757,776265
2.761,871426
2.764,878836
2.768,789406
2.772,643465
2.775,496538
2.779,373672
2.783,285281
2.786,225243
2.79,181771
2.794,148138
2.797,121888
2.801,101832
2.805,87860
2.809,79420
2.812,75822
2.816,75628
2.82,77441
2.823,80188
2.827,83071
2.831,86100
2.834,88544
2.838,89911
2.842,92619
2.845,102017
2.849,126795
2.853,176314
2.857,256734
2.86,370191
2.864,523724
2.868,716300
2.871,969999
2.875,1293005
2.879,1658115
2.882,1982579
2.886,2159629
2.89,2130258
2.894,1933064
2.897,1699655
2.901,1597209
2.905,1739023
2.908,2109539
2.912,2560858
2.916,2890704
2.919,2953333
2.923,2730125
2.927,2321551
2.93,1886362
2.934,1565862
2.938,1419921
2.942,1414540
2.945,1462040
2.949,1470970
2.953,1386199
2.956,1206710
2.96,972796
2.964,732824
2.967,524141
2.971,363335
2.975,255984
2.979,186487
2.982,142283
2.986,113945
2.99,94917
2.993,81258
2.997,71950
3.001,67247
3.004,67952
3.008,79195
3.012,112311
3.015,191404
3.019,360311
3.023,663885
3.027,1133550
3.03,1739390
3.034,2368936
3.038,2854048
3.041,3041652
3.045,2876283
3.049,2433841
3.052,1864116
3.056,1314152
3.06,876238
3.064,573625
3.067,381426
3.071,268564
3.075,201530
3.078,159044
3.082,130373
3.086,109266
3.089,92246
3.093,78581
3.097,67812
3.1,60122
3.104,54050
3.108,50653
3.112,51043
3.115,54607
3.119,63522
3.123,78917
3.126,98462
3.13,118149
3.134,133431
3.137,140066
3.141,138153
3.145,133670
3.149,138255
3.152,163365
3.156,215011
3.16,287549
3.163,364321
3.167,423630
3.171,448137
3.174,437730
3.178,392614
3.182,353089
3.185,359365
3.189,462493
3.193,752060
3.197,1345507
3.2,2341238
3.204,3729061
3.208,5327704
3.211,6798234
3.215,7751223
3.219,7919054
3.222,7298319
3.226,6115170
3.23,4689863
3.234,3333376
3.237,2259702
3.241,1528894
3.245,1088890
3.248,847188
3.252,714254
3.256,628008
3.259,554093
3.263,473258
3.267,392234
3.27,314546
3.274,247628
3.278,194492
3.282,156259
3.285,132550
3.289,119196
3.293,112053
3.296,107652
3.3,103706
3.304,97405
3.307,87514
3.311,75710
3.315,65230
3.318,58299
3.322,54812
3.326,53318
3.33,51582
3.333,49953
3.337,48003
3.341,45850
3.344,43933
3.348,42325
3.352,41184
3.355,40468
3.359,40681
3.363,41873
3.367,45156
3.37,51391
3.374,60470
3.378,70905
3.381,79531
3.385,84270
3.389,84547
3.392,85509
3.396,100521
3.4,153931
3.403,279174
3.407,507252
3.411,850422
3.415,1262346
3.418,1652252
3.422,1901349
3.426,1934647
3.429,1762725
3.433,1460355
3.437,1118136
3.44,801347
3.444,558090
3.448,378798
3.452,262681
3.455,189561
3.459,146154
3.463,123608
3.466,115114
3.47,116746
3.474,123642
3.477,132281
3.481,141569
3.485,154842
3.488,178749
3.492,216476
3.496,264454
3.5,310966
3.503,343076
3.507,354802
3.511,335784
3.514,299535
3.518,253208
3.522,211698
3.525,176572
3.529,155762
3.533,141812
3.537,129164
3.54,114556
3.544,99405
3.548,87497
3.551,84129
3.555,83687
3.559,88292
3.562,91662
3.566,90847
3.57,85461
3.573,77647
3.577,70442
3.581,66526
3.585,67133
3.588,70018
3.592,71881
3.596,70346
3.599,65681
3.603,59331
3.607,52933
3.61,48300
3.614,47843
3.618,52077
3.622,60896
3.625,74861
3.629,92899
3.633,112603
3.636,131455
3.64,145291
3.644,150078
3.647,144247
3.651,128532
3.655,107844
3.658,88242
3.662,74029
3.666,67141
3.67,68965
3.673,77297
3.677,86958
3.681,94187
3.684,96173
3.688,92380
3.692,84377
3.695,75875
3.699,70497
3.703,70610
3.707,76124
3.71,84618
3.714,92795
3.718,96403
3.721,94065
3.725,85760
3.729,74378
3.732,62259
3.736,51752
3.74,44332
3.743,39713
3.747,37181
3.751,35729
3.755,33905
3.758,32229
3.762,30875
3.766,29915
3.769,29464
3.773,29859
3.777,32683
3.78,40816
3.784,57256
3.788,84105
3.791,121693
3.795,166453
3.799,210400
3.803,243889
3.806,261342
3.81,266525
3.814,269493
3.817,282657
3.821,317993
3.825,384315
3.828,484228
3.832,610834
3.836,743847
3.84,860855
3.843,922977
3.847,915190
3.851,832731
3.854,710249
3.858,563512
3.862,419382
3.865,300856
3.869,210357
3.873,146639
3.876,105881
3.88,81408
3.884,67003
3.888,57751
3.891,51043
3.895,45577
3.899,41316
3.902,37811
3.906,34621
3.91,31537
3.913,28719
3.917,26556
3.921,25480
3.925,24641
3.928,24244
3.932,24030
3.936,24634
3.939,25664
3.943,27323
3.947,29667
3.95,32621
3.954,35983
3.958,39305
3.961,41549
3.965,43792
3.969,48035
3.973,57933
3.976,83860
3.98,145913
3.984,270461
3.987,481510
3.991,768226
3.995,1088956
3.998,1370536
4.002,1537950
4.006,1551774
4.01,1428471
4.013,1225477
4.017,1018113
