Retention time,Abundance
2.494,2971076
2.498,3134618
2.502,3294665
2.506,3388503
2.509,3357335
2.513,3150538
2.517,2763450
2.52,2247564
2.524,1695925
2.528,1213703
2.531,868068
2.535,659641
2.539,547270
2.542,481318
2.546,442247
2.55,405991
2.554,364002
2.557,318896
2.561,276344
2.565,238695
2.568,205934
2.572,178157
2.576,154202
2.579,132351
2.583,112376
2.587,97300
2.591,88423
2.594,84689
2.598,84749
2.602,86654
2.605,87748
2.609,86608
2.613,83636
2.616,79152
2.62,74766
2.624,71442
2.627,69231
2.631,68691
2.635,74056
2.639,92412
2.642,121332
2.646,146487
2.65,155355
2.653,150603
2.657,139340
2.661,124172
2.664,109028
2.668,96719
2.672,89157
2.676,84927
2.679,84257
2.683,86986
2.687,90181
2.69,92399
2.694,93843
2.698,95879
2.701,98430
2.705,99162
2.709,96391
2.712,90224
2.716,82743
2.72,75876
2.724,70264
2.727,66505
2.731,64392
2.735,63109
2.738,64034
2.742,68433
2.746,78602
2.749,97478
2.753,130197
2.757,181881
2.76,255989
2.764,357399
2.768,489087
2.772,644219
2.775,806960
2.779,927751
2.783,974853
2.786,930652
2.79,810373
2.794,651202
2.797,505412
2.801,390040
2.805,306213
2.809,245812
2.812,199044
2.816,160947
2.82,130974
2.823,109299
2.827,95195
2.831,87460
2.834,84951
2.838,86270
2.842,89688
2.845,94537
2.849,100155
2.853,106793
2.857,116618
2.86,134245
2.864,165459
2.868,216802
2.871,291999
2.875,392132
2.879,525856
2.882,701940
2.886,962531
2.89,1354550
2.894,1901628
2.897,2568498
2.901,3239292
2.905,3730408
2.908,3920789
2.912,3790793
2.916,3469339
2.919,3159756
2.923,3017406
2.927,3126956
2.93,3439628
2.934,3789755
2.938,3969604
2.942,3851682
2.945,3458399
2.949,2927741
2.953,2428452
2.956,2079549
2.96,1908027
2.964,1859836
2.967,1841650
2.971,1767296
2.975,1595403
2.979,1341143
2.982,1054245
2.986,784690
2.99,562971
2.993,398578
2.997,283561
3.001,208556
3.004,157609
3.008,124218
3.012,103130
3.015,90632
3.019,87068
3.023,97621
3.027,133031
3.03,213959
3.034,370918
3.038,641301
3.041,1046219
3.045,1596464
3.049,2267964
3.052,2984463
3.056,3608872
3.06,3975463
3.064,3965712
3.067,3576975
3.071,2929350
3.075,2203245
3.078,1553396
3.082,1057803
3.086,719891
3.089,501772
3.093,358981
3.097,266561
3.1,202335
3.104,156108
3.108,122602
3.112,99077
3.115,82327
3.119,70478
3.123,62845
3.126,59542
3.13,59874
3.134,64985
3.137,75971
3.141,92888
