Retention time,Abundance
2.494,1403868
2.498,1115097
2.502,907760
2.506,768413
2.509,676155
2.513,612349
2.517,560746
2.52,510335
2.524,453121
2.528,402879
2.531,358182
2.535,318772
2.539,281833
2.543,245184
2.546,209636
2.55,177525
2.554,151628
2.557,131569
2.561,115689
2.565,103466
2.568,94810
2.572,88868
2.576,84894
2.579,81529
2.583,77406
2.587,73525
2.591,69810
2.594,66004
2.598,63103
2.602,60251
2.605,58520
2.609,58299
2.613,62077
2.616,73918
2.62,93295
2.624,110575
2.627,117596
2.631,114092
2.635,104847
2.639,94282
2.642,85147
2.646,78583
2.65,74987
2.653,74010
2.657,74392
2.661,74975
2.664,75831
2.668,76924
2.672,77929
2.676,77947
2.679,76658
2.683,74208
2.687,70507
2.69,65951
2.694,61733
2.698,58389
2.701,55483
2.705,53644
2.709,52535
2.712,52206
2.716,53266
2.72,56398
2.724,61873
2.727,72468
2.731,94432
2.735,140797
2.738,226276
2.742,358973
2.746,526800
2.749,691236
2.753,802698
2.757,826878
2.761,766020
2.764,655734
2.768,542820
2.772,440982
2.775,366409
2.779,309262
2.783,261866
2.786,220136
2.79,182620
2.794,150919
2.797,127180
2.801,111081
2.805,99457
2.809,90903
2.812,85977
2.816,83750
2.82,83366
2.823,84100
2.827,83584
2.831,81489
2.834,80248
2.838,85093
2.842,105045
2.846,155391
2.849,256234
2.853,426260
2.857,669660
2.86,967906
2.864,1301130
2.868,1630303
2.871,1946270
2.875,2246284
2.879,2468585
2.882,2525207
2.886,2440835
2.89,2292801
2.894,2231207
2.897,2409962
2.901,2841770
2.905,3384479
2.908,3787414
2.912,3863882
2.916,3592010
2.919,3103755
2.923,2594322
2.927,2212775
2.931,2008881
2.934,1946220
2.938,1938607
2.942,1895740
2.945,1768257
2.949,1558896
2.953,1304847
2.956,1053308
2.96,835782
2.964,662618
2.967,530610
2.971,426013
2.975,347115
2.979,282817
2.982,230606
2.986,188954
2.99,157221
2.993,133980
2.997,120416
3.001,118241
3.004,135726
3.008,194988
3.012,343653
3.016,658955
3.019,1223491
3.023,2021495
3.027,2909100
3.03,3640972
3.034,4005392
3.038,3934873
3.041,3515941
3.045,2919117
3.049,2312183
3.052,1799350
3.056,1406096
3.06,1113262
3.064,892785
3.067,719239
3.071,578106
3.075,461765
3.078,373022
3.082,302753
3.086,246504
3.089,202401
3.093,167869
3.097,140300
3.1,117936
3.104,101644
3.108,91952
3.112,89092
3.115,93384
3.119,103555
3.123,116058
3.126,126151
3.13,129617
3.134,127273
3.137,124177
3.141,128744
3.145,153139
3.149,205513
3.152,286358
3.156,379967
3.16,459375
3.163,502415
3.167,507779
3.171,472031
3.174,433024
3.178,415195
3.182,442259
3.185,528821
3.189,698059
3.193,971579
3.197,1379016
3.2,1902679
3.204,2455619
3.208,2901911
3.211,3119927
3.215,3061629
3.219,2769941
3.222,2350560
3.226,1915835
3.23,1544091
3.234,1265226
3.237,1075462
3.241,955043
3.245,875960
3.248,810460
3.252,742111
3.256,662672
3.259,572973
3.263,481599
3.267,393475
3.27,321662
3.274,265089
3.278,223391
3.282,192842
3.285,170368
3.289,154226
3.293,141478
3.296,129754
3.3,116284
3.304,102491
3.307,88063
3.311,75377
3.315,66938
3.319,63939
3.322,65102
3.326,66308
3.33,65163
3.333,62359
3.337,59060
3.341,55157
3.344,51453
3.348,48305
3.352,46313
3.355,45872
3.359,48073
3.363,53545
3.367,62017
3.37,72810
3.374,83040
3.378,90318
3.381,93904
3.385,95396
3.389,104656
3.392,146184
3.396,263570
3.4,514935
3.404,940935
3.407,1524029
3.411,2134325
3.415,2610106
3.418,2824972
3.422,2758821
3.426,2482813
3.429,2099759
3.433,1701860
3.437,1349253
3.44,1062962
3.444,835248
3.448,661273
3.452,524819
3.455,420881
3.459,347013
3.463,297769
3.466,266693
3.47,248272
3.474,240096
3.477,237034
3.481,244731
3.485,273199
3.489,319629
3.492,378562
3.496,428395
3.5,467924
3.503,482000
3.507,464326
3.511,422095
3.514,371835
3.518,326594
3.522,290316
3.525,260785
3.529,233436
3.533,206995
3.537,181001
3.54,158278
3.544,142155
3.548,134405
3.551,132093
3.555,132186
