Retention time,Abundance
2.495,2105132
2.498,1978972
2.502,1756272
2.506,1469022
2.509,1149732
2.513,844177
2.517,595671
2.521,418042
2.524,313985
2.528,259655
2.532,234508
2.535,222274
2.539,212854
2.543,201267
2.546,187390
2.55,174413
2.554,163420
2.557,151637
2.561,135356
2.565,115233
2.569,95132
2.572,79500
2.576,68495
2.58,61843
2.583,58561
2.587,58156
2.591,58937
2.594,59287
2.598,58515
2.602,56754
2.606,54047
2.609,50895
2.613,48108
2.617,47290
2.62,52264
2.624,67445
2.628,89526
2.631,107671
2.635,113954
2.639,109075
2.642,98532
2.646,87067
2.65,77346
2.654,69444
2.657,62776
2.661,58456
2.665,56909
2.668,57393
2.672,59039
2.676,61244
2.679,63501
2.683,65848
2.687,67965
2.691,68960
2.694,68782
2.698,66881
2.702,62625
2.705,56676
2.709,51187
2.713,47147
2.716,44621
2.72,43233
2.724,42242
2.727,42248
2.731,44684
2.735,50518
2.739,60596
2.742,78111
2.746,107855
2.75,157474
2.753,236442
2.757,342629
2.761,470029
2.764,594083
2.768,677758
2.772,688106
2.776,633582
2.779,535247
2.783,426033
2.787,328383
2.79,252394
2.794,196198
2.798,153056
2.801,119197
2.805,93426
2.809,75166
2.812,63388
2.816,56548
2.82,53548
2.824,53381
2.827,55166
2.831,58470
2.835,62935
2.838,67133
2.842,70135
2.846,71743
2.849,73847
2.853,78799
2.857,89337
2.86,107316
2.864,133284
2.868,168873
2.872,222861
2.875,315385
2.879,471488
2.883,703631
2.886,986236
2.89,1252523
2.894,1425610
2.897,1467905
2.901,1412760
2.905,1357943
2.909,1423279
2.912,1675006
2.916,2094198
2.92,2552438
2.923,2875025
2.927,2937393
2.931,2726055
2.934,2342674
2.938,1948236
2.942,1671532
2.945,1552850
2.949,1552481
2.953,1590281
2.957,1581312
2.96,1471349
2.964,1264827
2.968,1010848
2.971,762188
2.975,551651
2.979,390388
2.982,275700
2.986,197118
2.99,142454
2.994,106613
2.997,82817
3.001,66948
3.005,57420
3.008,54497
3.012,60115
3.016,81128
3.019,134571
3.023,250167
3.027,469875
3.03,839432
3.034,1382124
3.038,2038756
3.042,2679715
3.045,3125238
3.049,3240415
3.053,3008489
3.056,2527552
3.06,1949489
3.064,1409940
3.067,980596
3.071,673117
3.075,461416
3.079,322997
3.082,230508
3.086,167442
3.09,125952
3.093,107855
3.097,124647
3.101,180783
3.104,259346
3.108,327342
3.112,357684
3.115,345295
3.119,305973
3.123,260973
3.127,224076
3.13,199438
3.134,185626
3.138,178228
3.141,171390
3.145,161416
3.149,151508
3.152,147615
3.156,158935
3.16,192877
3.164,250709
3.167,324695
3.171,397748
3.175,448895
3.178,465284
3.182,449676
3.186,423842
3.189,432866
3.193,555743
3.197,900453
3.2,1615421
3.204,2834821
3.208,4590377
3.212,6719431
3.215,8867168
3.219,10610321
3.223,11600016
