Retention time,Abundance
2.494,3424784
2.498,3633470
2.502,3753818
2.506,3721859
2.509,3480327
2.513,3016199
2.517,2404471
2.52,1786608
2.524,1274028
2.528,905906
2.531,675534
2.535,550360
2.539,487271
2.543,451563
2.546,419175
2.55,377209
2.554,329375
2.557,286589
2.561,249017
2.565,218498
2.568,185799
2.572,152034
2.576,121038
2.579,96277
2.583,79214
2.587,68890
2.591,62501
2.594,58332
2.598,56758
2.602,56952
2.605,56396
2.609,54047
2.613,50915
2.616,47586
2.62,44515
2.624,42612
2.627,42369
2.631,45214
2.635,55793
2.639,76931
2.642,101452
2.646,114919
2.65,114721
2.653,106077
2.657,94320
2.661,82383
2.664,72728
2.668,66095
2.672,62141
2.676,60742
2.679,61228
2.683,62983
2.687,65575
2.69,68198
2.694,70362
2.698,71573
2.701,70391
2.705,66810
2.709,61434
2.712,55552
2.716,50084
2.72,45791
2.724,42958
2.727,40892
2.731,39381
2.735,39562
2.738,42217
2.742,48075
2.746,59294
2.749,80483
2.753,119457
2.757,188979
2.761,301731
2.764,466760
2.768,661802
2.772,850512
2.775,982959
2.779,1020840
2.783,957349
2.786,820211
2.79,649963
2.794,496281
2.797,373922
2.801,284253
2.805,219617
2.809,170897
2.812,133307
2.816,105366
2.82,85682
2.823,72319
2.827,63698
2.831,59128
2.834,57891
2.838,58544
2.842,60196
2.846,63297
2.849,67432
2.853,73437
2.857,87863
2.86,122163
2.864,194362
2.868,324523
2.871,532176
2.875,810984
2.879,1159604
2.882,1562842
2.886,2000774
2.89,2454472
2.894,2899124
2.897,3277410
2.901,3499468
2.905,3491411
2.908,3250462
2.912,2875790
2.916,2532172
2.919,2363537
2.923,2417300
2.927,2624117
2.931,2830091
2.934,2885991
2.938,2729524
2.942,2406626
2.945,2029628
2.949,1710592
2.953,1510883
2.956,1430373
2.96,1418989
2.964,1405226
2.967,1332891
2.971,1187904
2.975,990528
2.979,776670
2.982,576507
2.986,418284
2.99,300726
2.993,218952
2.997,162542
3.001,122811
3.004,94964
3.008,76297
3.012,64292
3.016,58338
3.019,60367
3.023,74570
3.027,111024
3.03,190037
3.034,341921
3.038,607676
3.041,1009264
3.045,1532866
3.049,2092546
3.052,2557555
3.056,2803864
3.06,2768432
3.064,2481585
3.067,2043037
3.071,1566730
3.075,1139341
3.078,803778
3.082,563138
3.086,396749
3.089,287687
3.093,212810
3.097,159632
3.101,121140
3.104,93307
3.108,73639
3.112,59217
3.115,48708
3.119,41611
3.123,37968
3.126,37655
3.13,41231
3.134,49709
3.137,63783
3.141,82787
3.145,102656
3.149,118442
3.152,127698
3.156,130463
3.16,129563
3.163,133610
3.167,152803
3.171,192161
3.174,248678
3.178,312912
3.182,369868
3.186,403273
3.189,408640
3.193,384842
3.197,350227
3.2,336497
3.204,367177
3.208,473740
3.211,699637
3.215,1078605
3.219,1630942
3.222,2312236
3.226,2997570
3.23,3520639
3.234,3746151
3.237,3626288
3.241,3214956
3.245,2642118
3.248,2052096
3.252,1544560
3.256,1160913
3.259,900381
3.263,737301
3.267,636627
3.27,565619
3.274,502415
3.278,436947
3.282,368152
3.285,297504
3.289,236954
3.293,186734
3.296,147696
3.3,119516
3.304,100478
3.307,88743
3.311,81833
3.315,77580
3.319,73273
3.322,67182
3.326,59180
3.33,51338
3.333,45969
3.337,45384
3.341,47951
3.344,50177
3.348,49871
3.352,47690
3.355,45000
3.359,42522
3.363,40041
3.367,38191
3.37,36855
3.374,36353
3.378,36840
3.381,38505
3.385,41733
3.389,47557
3.392,54553
3.396,60497
3.4,64301
3.404,66515
3.407,70311
3.411,83430
3.415,120437
3.418,203719
3.422,362522
3.426,613125
3.429,935004
3.433,1243239
3.437,1464477
3.44,1554378
3.444,1502262
3.448,1331261
3.452,1096180
3.455,853751
3.459,641202
3.463,473455
3.466,344971
3.47,254329
3.474,190158
3.477,148004
3.481,123637
3.485,112519
3.489,110119
3.492,112912
3.496,118099
3.5,125930
3.503,139600
3.507,161809
3.511,191957
3.514,224643
3.518,253218
3.522,270898
3.525,272766
3.529,257515
3.533,231265
3.537,201750
3.54,175047
3.544,153946
3.548,137428
3.551,122664
3.555,107663
3.559,93364
3.562,81233
3.566,72806
3.57,68111
3.574,66493
3.577,66847
3.581,66846
3.585,64608
3.588,60627
3.592,56102
3.596,52838
3.599,52540
3.603,54138
3.607,55590
3.61,55232
3.614,52873
3.618,48728
3.622,43875
3.625,38949
3.629,35806
3.633,35198
3.636,38365
3.64,45188
3.644,55224
3.647,67393
3.651,81088
3.655,93883
3.659,102409
3.662,103835
3.666,97704
3.67,86584
3.673,73822
3.677,63731
3.681,57322
3.684,55516
3.688,58017
3.692,63204
3.695,69144
3.699,72919
3.703,72634
3.707,69106
3.71,63638
3.714,58413
3.718,55980
3.721,56729
3.725,60450
3.729,65888
3.732,69832
3.736,70353
3.74,67404
3.743,62055
3.747,55852
3.751,49803
3.755,45242
3.758,41867
3.762,39373
3.766,36429
3.769,33242
3.773,30007
3.777,27453
3.78,25653
3.784,24352
3.788,23183
3.792,23178
3.795,25097
3.799,29501
3.803,37395
3.806,49390
3.81,64801
3.814,81989
3.817,99560
3.821,116412
3.825,133066
3.828,154722
3.832,189190
3.836,245550
3.84,331402
3.843,454443
3.847,604430
3.851,770287
3.854,923291
3.858,1028434
3.862,1061897
3.865,1022079
3.869,921740
3.873,782510
3.877,630525
3.88,488533
3.884,368239
3.888,270975
3.891,199695
3.895,146861
3.899,108034
3.902,81144
3.906,62987
3.91,50725
3.913,42362
3.917,36526
3.921,31939
3.925,28434
3.928,26081
3.932,24267
3.936,22891
3.939,21509
3.943,20539
3.947,19867
3.95,19248
3.954,18928
3.958,19420
3.962,20834
3.965,22434
3.969,24430
3.973,26622
3.976,28807
3.98,30950
3.984,32735
3.987,34912
3.991,39660
3.995,50550
3.998,73099
4.002,113921
4.006,176426
4.01,257343
4.013,345234
4.017,426226
4.021,475471
4.024,485278
4.028,458515
4.032,406503
4.035,359031
4.039,335305
4.043,350465
4.047,408394
4.05,502936
4.054,605387
4.058,689785
4.061,727648
4.065,716877
4.069,661400
4.072,581248
4.076,497415
4.08,424469
4.083,367774
4.087,323788
4.091,283955
4.095,243576
4.098,202698
4.102,164222
4.106,130330
4.109,102303
4.113,79655
4.117,61992
4.12,48963
4.124,39863
4.128,33702
4.132,29038
4.135,25305
4.139,22510
4.143,20989
4.146,19856
4.15,18979
4.154,18748
4.157,18618
4.161,18816
4.165,19222
4.168,19397
4.172,19852
4.176,20360
4.18,21751
4.183,25094
4.187,31340
4.191,40695
4.194,54793
4.198,75047
4.202,100503
4.205,126889
4.209,149425
4.213,164084
4.216,168251
4.22,161571
4.224,146283
4.228,125715
4.231,103773
4.235,82688
4.239,64847
4.242,51117
4.246,40863
4.25,33217
4.253,27722
4.257,24101
4.261,21703
4.265,20230
4.268,19406
4.272,19000
4.276,19345
4.279,19850
4.283,19788
4.287,19474
4.29,18927
4.294,18465
4.298,18375
4.301,19340
4.305,21273
4.309,23956
4.313,25704
4.316,26023
4.32,25057
4.324,24424
4.327,23691
4.331,23114
4.335,22617
4.338,22502
4.342,22792
4.346,23301
4.35,24559
4.353,27007
4.357,31082
4.361,36335
4.364,42723
4.368,49942
4.372,58016
4.375,68168
4.379,84101
4.383,115190
4.386,175564
4.39,281868
4.394,445140
4.398,661663
4.401,895744
4.405,1106782
4.409,1251990
4.412,1302983
4.416,1255683
4.42,1129235
4.423,952602
4.427,766866
4.431,591527
4.435,440493
4.438,320036
4.442,229111
4.446,163150
4.449,116654
4.453,84162
4.457,62014
4.46,47314
4.464,38387
4.468,33920
4.471,34722
4.475,43276
4.479,66085
4.483,115644
4.486,208717
4.49,360183
4.494,571535
4.497,827935
4.501,1086373
4.505,1301437
4.508,1428981
4.512,1448997
4.516,1369437
4.519,1211249
4.523,1017604
4.527,818216
4.531,637002
4.534,486257
4.538,370958
4.542,288850
4.545,232439
4.549,192330
4.553,162131
4.556,137535
4.56,115883
4.564,96884
4.568,80984
4.571,67206
4.575,56634
4.579,49709
4.582,46749
4.586,47376
4.59,49716
4.593,52215
4.597,53998
4.601,54242
4.604,52296
4.608,48853
4.612,44225
4.616,39435
4.619,34740
4.623,30867
4.627,29602
4.63,32904
4.634,42738
4.638,62272
4.641,93469
4.645,138937
4.649,196164
4.653,258673
4.656,316386
4.66,357603
4.664,373759
