Retention time,Abundance
0.087,9733
0.091,10967
0.094,10269
0.097,10425
0.101,9289
0.104,9653
0.107,8570
0.11,9563
0.114,9826
0.117,8012
0.12,10198
0.124,8379
0.127,8582
0.13,9127
0.133,9604
0.137,9393
0.14,7370
0.143,7908
0.147,8009
0.15,7777
0.153,7380
0.156,8508
0.16,7959
0.163,7666
0.166,7877
0.169,7050
0.173,6876
0.176,7181
0.179,7327
0.183,7834
0.186,7105
0.189,5578
0.192,6185
0.196,7191
0.199,7043
0.202,5872
0.206,5730
0.209,5746
0.212,4923
0.215,5730
0.219,5281
0.222,4975
0.225,4997
0.229,5679
0.232,4165
0.235,4767
0.238,5985
0.242,4644
0.245,4629
0.248,6045
0.251,6257
0.255,4326
0.258,4700
0.261,4725
0.265,5692
0.268,4890
0.271,4477
0.274,4329
0.278,4641
0.281,4919
0.284,4657
0.288,4431
0.291,3800
0.294,4025
0.297,4151
0.301,3997
0.304,3059
0.307,3877
0.31,4257
0.314,4178
0.317,4058
0.32,4085
0.324,3960
0.327,3213
0.33,4166
0.333,4311
0.337,3568
0.34,4241
0.343,3630
0.347,3354
0.35,3232
0.353,4042
0.356,4342
0.36,3262
0.363,3192
0.366,3650
0.37,3853
0.373,3798
0.376,3069
0.379,4494
0.383,3115
0.386,3814
0.389,3750
0.392,3953
0.396,2861
0.399,3242
0.402,3785
0.406,3503
0.409,4130
0.412,4033
0.415,3641
0.419,3439
0.422,3315
0.425,2814
0.429,2898
0.432,2774
0.435,3077
0.438,3555
0.442,2754
0.445,2875
0.448,3587
0.451,2831
0.455,3007
0.458,3301
0.461,2919
0.465,2711
0.468,2550
0.471,3416
0.474,3382
0.478,2916
0.481,3107
0.484,2985
0.488,3237
0.491,2628
0.494,3101
0.497,2420
0.501,2908
0.504,2707
0.507,2824
0.511,3115
0.514,2913
0.517,2724
0.52,2922
0.524,2088
0.527,2914
0.53,3351
0.533,3673
0.537,3073
0.54,2956
0.543,2896
0.547,2838
0.55,2614
0.553,2388
0.556,2845
0.56,2860
0.563,3117
0.566,2863
0.57,2750
0.573,2667
0.576,3036
0.579,2491
0.583,2345
0.586,2459
0.589,2888
0.593,2717
0.596,2947
0.599,2523
0.602,2058
0.606,3012
0.609,2943
0.612,2569
0.615,3022
0.619,3374
0.622,2572
0.625,2463
0.629,2280
0.632,2454
0.635,2768
0.638,3120
0.642,2250
0.645,2501
0.648,2980
0.652,2778
0.655,2683
0.658,2680
0.661,2286
0.665,2940
0.668,2590
0.671,2126
0.674,2458
0.678,3175
0.681,2681
0.684,3376
0.688,3098
0.691,2855
0.694,2800
0.697,2963
0.701,2032
0.704,2784
0.707,2842
0.711,2226
0.714,1834
0.717,2950
0.72,2150
0.724,2473
0.727,2209
0.73,2515
0.734,2243
0.737,1996
0.74,2782
0.743,2470
0.747,2240
0.75,2658
0.753,2626
0.756,2682
0.76,2185
0.763,2552
0.766,1954
0.77,3014
0.773,1862
0.776,2581
0.779,2685
0.783,2189
0.786,2457
0.789,2363
0.793,2497
0.796,2335
0.799,2002
0.802,2759
0.806,2771
0.809,2764
0.812,3246
0.816,2127
0.819,2822
0.822,1927
0.825,2320
0.829,2233
0.832,2417
0.835,2530
0.838,2488
0.842,2526
0.845,2732
0.848,3131
0.852,2706
0.855,2333
0.858,2080
0.861,2420
0.865,2529
0.868,2558
0.871,1954
0.875,2364
0.878,2698
0.881,1662
0.884,2766
0.888,2448
0.891,2928
0.894,2173
0.897,3005
0.901,2436
0.904,2052
0.907,1900
0.911,2369
0.914,2060
0.917,2146
0.92,2702
0.924,2906
0.927,2039
0.93,2748
0.934,2764
0.937,1642
0.94,1940
0.943,2728
0.947,2573
0.95,2722
0.953,2707
0.957,2373
0.96,2562
0.963,1759
0.966,2788
0.97,2292
0.973,2580
0.976,2707
0.979,2515
0.983,2429
0.986,2033
0.989,1974
0.993,1853
0.996,1907
0.999,2784
1.002,2910
1.006,2636
1.009,2667
1.012,2418
1.016,1967
1.019,1940
1.022,2716
1.025,1977
1.029,2959
1.032,2182
1.035,3065
1.038,2224
1.042,2344
1.045,2059
1.048,2247
1.052,2154
1.055,2295
1.058,2452
1.061,2372
1.065,2606
1.068,2186
1.071,1244
1.075,2379
1.078,2872
1.081,1888
1.084,1786
1.088,2155
1.091,2278
1.094,2431
1.098,2268
1.101,2159
1.104,2154
1.107,2240
1.111,1885
1.114,1990
1.117,2315
1.12,2010
1.124,2219
1.127,2349
1.13,2275
1.134,2319
1.137,2212
1.14,1705
1.143,2159
1.147,2373
1.15,2154
1.153,1891
1.157,2791
1.16,2324
1.163,1788
1.166,2330
1.17,2218
1.173,1696
1.176,2299
1.18,2294
1.183,2759
1.186,2917
1.189,2249
1.193,1866
1.196,1809
1.199,2566
1.202,1785
1.206,2350
1.209,2369
1.212,2212
1.216,1715
1.219,1830
1.222,2546
1.225,2027
1.229,2652
1.232,1972
1.235,2155
1.239,2172
1.242,2048
1.245,2333
1.248,2601
1.252,2615
1.255,1784
1.258,2117
1.261,2005
1.265,2394
1.268,2527
1.271,1578
1.275,3001
1.278,2812
1.281,2027
1.284,1477
1.288,1951
1.291,1427
1.294,2128
