Retention time,Abundance
2.495,359320
2.498,309073
2.502,269955
2.506,240450
2.509,217578
2.513,198421
2.517,181963
2.52,167497
2.524,154195
2.528,141880
2.532,130887
2.535,121525
2.539,112906
2.543,104187
2.546,96561
2.55,90687
2.554,85874
2.557,81763
2.561,78311
2.565,75389
2.568,73458
2.572,72097
2.576,70534
2.58,69382
2.583,68772
2.587,67720
2.591,66204
2.594,64873
2.598,63928
2.602,63445
2.605,64019
2.609,69293
2.613,84207
2.617,106803
2.62,125978
2.624,132672
2.628,127319
2.631,116222
2.635,104404
2.639,93895
2.642,85617
2.646,79704
2.65,75633
2.653,72994
2.657,70727
2.661,69071
2.665,68340
2.668,68095
2.672,67233
2.676,65944
2.679,65093
2.683,63950
2.687,62930
2.69,61738
2.694,60538
2.698,59155
2.702,58040
2.705,57391
2.709,56324
2.713,55529
2.716,55848
2.72,57343
2.724,60404
2.727,66561
2.731,77437
2.735,95003
2.738,117947
2.742,142731
2.746,164327
2.75,178175
2.753,181915
2.757,176249
2.761,164113
2.764,149201
2.768,134067
2.772,120022
2.775,107568
2.779,96845
2.783,88139
2.787,80769
2.79,73756
2.794,68069
2.798,63820
2.801,61013
2.805,58937
2.809,57039
2.812,55636
2.816,55155
2.82,54582
2.823,54163
2.827,54036
2.831,54301
2.835,55304
2.838,58177
2.842,64650
2.846,75257
2.849,90316
2.853,110055
2.857,134892
2.86,165367
2.864,204471
2.868,256387
2.871,320266
2.875,385528
2.879,435281
2.883,457936
2.886,457285
2.89,448750
2.894,450619
2.897,471152
2.901,504564
2.905,534063
2.908,544875
2.912,534284
2.916,510890
2.92,484865
2.923,458301
2.927,432336
2.931,410346
2.934,394438
2.938,370629
2.942,340375
2.945,303241
2.949,266853
2.953,231350
2.956,198603
2.96,168654
2.964,141930
2.968,120127
2.971,102487
2.975,88498
2.979,77346
2.982,69103
2.986,62899
2.99,58586
2.993,56199
2.997,56433
3.001,59550
3.005,68154
3.008,88205
3.012,128250
3.016,193611
3.019,281117
3.023,374926
3.027,452991
3.03,497722
3.034,503790
3.038,476962
3.041,428488
3.045,370550
3.049,312276
3.053,259076
3.056,212514
3.06,172299
3.064,140217
3.067,116231
3.071,98378
3.075,84711
3.078,73665
3.082,64645
3.086,57581
3.09,52645
3.093,49156
3.097,46282
3.101,44520
3.104,43740
3.108,44068
3.112,45628
3.115,48047
3.119,50767
3.123,53198
3.126,54328
3.13,54379
3.134,54995
3.138,57288
3.141,62543
3.145,70995
3.149,82447
3.152,95001
3.156,105244
3.16,110599
3.163,111496
3.167,108808
3.171,105275
3.175,103940
3.178,109596
3.182,129148
3.186,172725
3.189,251820
3.193,375397
3.197,535259
3.2,708007
3.204,846123
3.208,922834
3.211,929923
3.215,877194
3.219,784694
3.223,675711
3.226,568221
3.23,473324
3.234,394228
3.237,326929
3.241,275075
3.245,233650
3.248,200907
3.252,174314
3.256,150872
3.26,130475
3.263,113585
3.267,99140
3.271,86617
3.274,75976
3.278,67850
3.282,62437
3.285,58494
3.289,55585
3.293,52882
3.296,49689
3.3,46531
3.304,44404
3.308,44379
3.311,46920
3.315,50820
3.319,54059
3.322,54459
3.326,52284
3.33,49326
3.333,47263
3.337,45807
3.341,44203
3.344,42929
3.348,42171
3.352,42146
3.356,42294
3.359,42392
3.363,42701
3.367,43925
3.37,44781
3.374,45110
3.378,44241
3.381,44200
3.385,47099
3.389,55483
3.393,73247
3.396,105666
3.4,154901
3.404,216139
3.407,278422
3.411,329003
3.415,358266
3.418,362012
3.422,344400
3.426,312680
3.429,273078
3.433,231395
3.437,192537
3.441,158622
3.444,130221
3.448,107239
3.452,89482
3.455,76990
3.459,68926
3.463,64899
3.466,62955
3.47,62518
3.474,63287
3.478,66032
3.481,71574
3.485,78740
3.489,85814
3.492,91512
3.496,95023
3.5,95645
3.503,93406
3.507,89134
3.511,83635
3.514,77673
3.518,71741
3.522,66272
3.526,61427
3.529,57153
3.533,52846
3.537,49218
3.54,46955
3.544,45919
3.548,45463
3.551,44906
3.555,44111
3.559,43256
3.563,41924
3.566,40928
3.57,40134
3.574,39599
3.577,39218
3.581,39035
3.585,38997
3.588,38269
3.592,36948
3.596,35562
3.599,34531
3.603,33506
3.607,33486
3.611,34540
3.614,36508
3.618,39270
3.622,42182
3.625,45729
3.629,48900
3.633,50904
3.636,51401
3.64,50078
3.644,48077
3.648,45693
3.651,43428
3.655,41388
3.659,40299
3.662,39987
3.666,40202
3.67,41002
3.673,42036
3.677,42084
3.681,41222
3.684,40025
3.688,39343
3.692,38864
3.696,38979
3.699,39236
3.703,40161
3.707,41121
3.71,41300
3.714,40371
3.718,39727
3.721,39869
3.725,40411
3.729,41429
3.732,42579
3.736,42747
3.74,41971
3.744,40317
3.747,37752
3.751,35249
3.755,32851
3.758,30640
3.762,28989
3.766,28742
3.769,29578
3.773,31300
3.777,34557
3.781,39706
3.784,46560
3.788,53894
3.792,60914
3.795,65716
3.799,68717
3.803,72245
3.806,76667
3.81,82713
3.814,91278
3.817,103713
3.821,119902
3.825,138617
3.829,156713
3.832,171511
3.836,180532
3.84,181644
3.843,173033
3.847,157058
3.851,137894
3.854,118447
3.858,100269
3.862,84173
3.866,70574
3.869,59672
3.873,50954
3.877,44453
3.88,39284
3.884,35366
3.888,32691
3.891,30858
3.895,29845
3.899,29003
3.902,28206
3.906,27415
3.91,26744
3.914,26418
3.917,26077
3.921,25680
3.925,25248
3.928,24777
3.932,25286
3.936,25699
3.939,26175
3.943,26783
3.947,27675
3.951,28622
3.954,29247
3.958,30111
3.962,31340
3.965,33277
3.969,38104
3.973,47753
3.976,64911
3.98,90490
3.984,123242
3.987,159152
3.991,191791
3.995,214181
3.999,222671
4.002,217992
4.006,206139
4.01,193101
4.013,184492
4.017,187321
4.021,206669
4.024,238943
4.028,274758
4.032,303758
4.035,320007
4.039,321637
4.043,307954
4.047,282226
4.05,248869
4.054,213545
4.058,180492
4.061,151992
4.065,128575
4.069,109559
4.072,93627
4.076,80167
4.08,68300
4.084,58440
4.087,50498
4.091,44060
4.095,39152
4.098,35357
4.102,32340
4.106,30109
4.109,28082
4.113,26827
4.117,25728
4.12,25291
4.124,25066
4.128,24679
4.132,24466
4.135,24417
4.139,24707
4.143,24917
4.146,24831
4.15,24756
4.154,25087
4.157,26752
4.161,29765
4.165,34302
4.169,40397
4.172,48981
4.176,59568
4.18,70825
4.183,80971
4.187,87818
4.191,91382
4.194,90801
4.198,86510
4.202,79437
4.205,70678
4.209,61539
4.213,53026
4.217,45791
4.22,39894
4.224,35123
4.228,31744
4.231,29682
4.235,28329
4.239,27022
4.242,25797
4.246,25210
4.25,24776
4.254,24402
4.257,23599
4.261,22886
4.265,22974
4.268,22751
4.272,22215
4.276,22105
4.279,22238
4.283,22018
4.287,21809
4.29,21634
4.294,21735
4.298,22464
4.302,23031
4.305,23706
4.309,24247
4.313,24524
4.316,24801
4.32,25487
4.324,26509
4.327,27960
