Retention time,Abundance
2.495,1256696
2.498,1023794
2.502,845850
2.506,718838
2.509,632711
2.513,564870
2.517,512536
2.521,464294
2.524,418241
2.528,374556
2.532,333867
2.535,295722
2.539,258886
2.543,224551
2.546,193791
2.55,167230
2.554,144811
2.557,127557
2.561,114741
2.565,105945
2.569,100112
2.572,97055
2.576,95105
2.58,92514
2.583,88650
2.587,83756
2.591,78881
2.594,74557
2.598,71131
2.602,68552
2.606,67894
2.609,71971
2.613,84213
2.617,101525
2.62,116566
2.624,122302
2.628,118957
2.631,110461
2.635,100853
2.639,92523
2.642,86146
2.646,82585
2.65,81466
2.654,82027
2.657,83577
2.661,85752
2.665,88677
2.668,92047
2.672,95152
2.676,95546
2.679,93541
2.683,88439
2.687,81597
2.69,75080
2.694,69678
2.698,65232
2.702,61907
2.705,59969
2.709,59411
2.713,60949
2.716,65666
2.72,75152
2.724,90398
2.727,116008
2.731,159688
2.735,230531
2.739,331168
2.742,455176
2.746,568098
2.75,642875
2.753,656241
2.757,623435
2.761,558545
2.764,484412
2.768,417836
2.772,362532
2.775,313926
2.779,268189
2.783,225511
2.787,187524
2.79,155325
2.794,130154
2.798,112581
2.801,101199
2.805,94396
2.809,91155
2.812,91068
2.816,92641
2.82,93976
2.824,94303
2.827,93346
2.831,92238
2.835,93841
2.838,101478
2.842,118228
2.846,145460
2.849,187008
2.853,241640
2.857,317996
2.86,440301
2.864,626385
2.868,881449
2.872,1175356
2.875,1440045
2.879,1603922
2.883,1642315
2.886,1601646
2.89,1580142
2.894,1671688
2.897,1904105
2.901,2186308
2.905,2401634
2.909,2461917
2.912,2362198
2.916,2162382
2.92,1938540
2.923,1752322
2.927,1636118
2.931,1580480
2.934,1546525
2.938,1489702
2.942,1384168
2.945,1232482
2.949,1057808
2.953,882350
2.957,713907
2.96,574576
2.964,453806
2.968,352784
2.971,275147
2.975,214868
2.979,169740
2.982,137094
2.986,113747
2.99,97762
2.994,87940
2.997,86345
3.001,99651
3.005,143880
3.008,249332
3.012,456768
3.016,802168
3.019,1261695
3.023,1752954
3.027,2150293
3.03,2352631
3.034,2331062
3.038,2130001
3.042,1828439
3.045,1500614
3.049,1195250
3.053,934381
3.056,723206
3.06,554248
3.064,425894
3.067,328225
3.071,256566
3.075,203710
3.079,163569
3.082,132954
3.086,109577
3.09,91863
3.093,78869
3.097,69834
3.101,64712
3.104,63905
3.108,68299
3.112,77515
3.115,90548
3.119,104596
3.123,115667
3.127,120680
3.13,120743
3.134,120820
3.138,128631
3.141,153766
3.145,194074
3.149,253863
3.152,318312
3.156,369354
3.16,394781
3.163,393873
3.167,378465
3.171,356820
3.175,357915
3.178,421950
3.182,617069
3.186,1041745
3.189,1787282
3.193,2861520
3.197,4124994
3.2,5315949
3.204,6168011
3.208,6521765
3.212,6358887
3.215,5781284
3.219,4961418
3.223,4074675
3.226,3249889
3.23,2551616
3.234,1995571
3.237,1571496
3.241,1254084
3.245,1012980
3.248,826034
3.252,679165
3.256,560740
3.26,457059
3.263,372705
3.267,304336
3.271,250195
3.274,208958
3.278,179267
3.282,158595
3.285,143079
3.289,129555
3.293,116008
3.297,103254
3.3,90880
3.304,78719
3.308,66956
3.311,56959
3.315,50124
3.319,47254
3.322,46508
3.326,46443
3.33,45683
3.333,44147
3.337,42577
3.341,41303
3.345,40420
3.348,40475
3.352,41428
3.356,43878
3.359,48469
3.363,54864
3.367,61726
3.37,68317
3.374,73273
3.378,75713
3.382,78332
3.385,89935
3.389,127170
3.393,214910
3.396,377065
3.4,623931
3.404,920664
3.407,1210734
3.411,1424877
3.415,1516820
3.418,1483044
3.422,1354043
3.426,1171029
3.43,971198
3.433,786459
3.437,630838
3.441,504623
3.444,395275
3.448,308233
3.452,242740
3.455,198820
3.459,172270
3.463,157767
3.467,150564
3.47,149644
3.474,156826
3.478,173831
3.481,201709
3.485,237176
3.489,274251
3.492,305615
3.496,323931
3.5,324373
3.503,307693
3.507,280361
3.511,250731
3.515,223501
3.518,199474
3.522,177493
3.526,156889
3.529,138565
3.533,122588
3.537,110563
3.54,103526
3.544,100374
3.548,99699
3.552,99872
3.555,98525
3.559,94682
3.563,88563
3.566,82399
3.57,77732
3.574,75138
3.577,74413
3.581,74417
3.585,72904
3.588,69337
3.592,64464
3.596,59748
3.6,56876
3.603,57062
3.607,61493
3.611,70699
3.614,85497
3.618,103523
3.622,122060
3.625,137550
3.629,147664
3.633,150180
3.636,144729
3.64,133808
3.644,119509
3.648,104047
3.651,90560
3.655,81416
3.659,77389
3.662,77791
3.666,80498
3.67,83397
3.673,84329
3.677,82046
3.681,77699
3.685,73673
3.688,70870
3.692,69841
3.696,70338
3.699,72519
3.703,75773
3.707,77951
3.71,77684
3.714,74412
3.718,68566
3.721,61683
3.725,54601
3.729,48410
3.733,43756
3.736,40539
3.74,37892
3.744,35716
3.747,33997
3.751,32170
3.755,30730
3.758,29744
3.762,30055
3.766,33074
3.77,41073
3.773,57477
3.777,85652
3.781,125629
3.784,172913
3.788,220783
3.792,260406
3.795,286499
3.799,298979
3.803,300504
3.806,298624
3.81,302771
3.814,320148
3.818,353184
3.821,400225
3.825,456216
3.829,510944
3.832,555140
3.836,568988
3.84,550441
3.843,505071
3.847,440819
3.851,374902
3.855,310025
3.858,249605
3.862,195986
3.866,152157
3.869,118690
3.873,94262
3.877,76357
3.88,63486
3.884,54837
3.888,48686
3.891,43210
3.895,38249
3.899,33837
3.903,30699
3.906,28402
3.91,26550
3.914,25424
3.917,25034
3.921,24990
3.925,25843
3.928,27960
3.932,30530
3.936,33427
3.94,35868
3.943,38046
3.947,39289
3.951,40769
3.954,43070
3.958,46697
3.962,54741
3.965,75279
3.969,122546
3.973,214850
3.976,369586
3.98,590909
3.984,857794
3.988,1128099
3.991,1334637
3.995,1443893
3.999,1447071
4.002,1364836
4.006,1242643
4.01,1161817
4.013,1174007
4.017,1281636
4.021,1479329
4.024,1734935
4.028,1985769
4.032,2157836
4.036,2202510
4.039,2113299
4.043,1916449
4.047,1655950
4.05,1377297
4.054,1113646
4.058,883453
4.061,693372
4.065,537803
4.069,419208
4.073,327904
4.076,256205
4.08,198378
4.084,152847
4.087,118281
4.091,93179
4.095,74649
4.098,60644
4.102,50354
4.106,42630
4.109,36686
4.113,32052
4.117,28708
4.121,26361
4.124,24781
