Retention time,Abundance
0.088,10553
0.091,9398
0.094,10784
0.098,10402
0.101,10868
0.104,10111
0.107,9266
0.111,9600
0.114,8602
0.117,9575
0.121,8123
0.124,9547
0.127,8934
0.13,8357
0.134,8221
0.137,9529
0.14,7494
0.144,7909
0.147,8049
0.15,8376
0.153,7396
0.157,8392
0.16,7313
0.163,7805
0.167,7987
0.17,6957
0.173,6743
0.176,6678
0.18,7424
0.183,6342
0.186,6181
0.189,6461
0.193,6607
0.196,5646
0.199,6298
0.203,4974
0.206,5904
0.209,5512
0.212,5562
0.216,5292
0.219,5207
0.222,6185
0.226,6406
0.229,5942
0.232,6361
0.235,5010
0.239,5576
0.242,5705
0.245,5825
0.249,4661
0.252,5233
0.255,4874
0.258,4395
0.262,4940
0.265,4470
0.268,4288
0.271,4496
0.275,4971
0.278,4483
0.281,4403
0.285,4612
0.288,4788
0.291,4682
0.294,4553
0.298,3788
0.301,4785
0.304,5037
0.308,4338
0.311,5030
0.314,3320
0.317,4391
0.321,4277
0.324,3522
0.327,3975
0.33,3989
0.334,3804
0.337,3482
0.34,4202
0.344,3270
0.347,4148
0.35,3670
0.353,4721
0.357,3232
0.36,3378
0.363,3237
0.367,3537
0.37,3469
0.373,3197
0.376,3060
0.38,3093
0.383,3918
0.386,2893
0.39,3538
0.393,3381
0.396,3130
0.399,2931
0.403,3475
0.406,3231
0.409,3655
0.412,3594
0.416,3782
0.419,3320
0.422,3196
0.426,3202
0.429,3119
0.432,3943
0.435,3573
0.439,3054
0.442,2405
0.445,4056
0.449,2975
0.452,3957
0.455,2920
0.458,3191
0.462,2750
0.465,2907
0.468,3371
0.471,2708
0.475,2984
0.478,2562
0.481,3422
0.485,3302
0.488,3232
0.491,3127
0.494,2740
0.498,2536
0.501,3424
0.504,2990
0.508,2461
0.511,3237
0.514,3409
0.517,3128
0.521,3700
0.524,3305
0.527,2433
0.531,2830
0.534,2973
0.537,2760
0.54,2630
0.544,3577
0.547,3022
0.55,3348
0.553,3012
0.557,3671
0.56,2919
0.563,3462
0.567,2596
0.57,2717
0.573,2832
0.576,3008
0.58,2624
0.583,2664
0.586,2375
0.59,2497
0.593,2714
0.596,3031
0.599,2656
0.603,2515
0.606,2743
0.609,2794
0.613,3169
0.616,2617
0.619,2711
0.622,2255
0.626,3084
0.629,3548
0.632,3006
0.635,2572
0.639,2560
0.642,2719
0.645,2634
0.649,2733
0.652,2722
0.655,2835
0.658,2983
0.662,2642
0.665,3314
0.668,2541
0.672,2572
0.675,2625
0.678,2882
0.681,2080
0.685,3225
0.688,2492
0.691,2777
0.694,2808
0.698,2300
0.701,2309
0.704,2410
0.708,3421
0.711,2543
0.714,2514
0.717,2132
0.721,2614
0.724,2967
0.727,2251
0.731,2616
0.734,2936
0.737,3219
0.74,2941
0.744,1939
0.747,1894
0.75,2806
0.754,2139
0.757,2677
0.76,2507
0.763,2524
0.767,2401
0.77,2535
0.773,2037
0.776,2036
0.78,3066
0.783,2979
0.786,2734
0.79,2502
0.793,2018
0.796,2459
0.799,2296
0.803,1935
0.806,2016
0.809,2863
0.813,2017
0.816,2606
0.819,2702
0.822,2258
0.826,2809
0.829,2259
0.832,2640
0.836,2757
0.839,3197
0.842,2469
0.845,2689
0.849,1516
0.852,3287
0.855,2538
0.858,2899
0.862,2596
0.865,2240
0.868,2274
0.872,2765
0.875,2928
0.878,2725
0.881,1512
0.885,1798
0.888,2397
0.891,2765
0.895,2417
0.898,3012
0.901,2501
0.904,2468
0.908,2300
0.911,2562
0.914,2248
0.917,2762
0.921,2826
0.924,2289
0.927,2624
0.931,2560
0.934,2956
0.937,1967
0.94,2556
0.944,2151
0.947,2640
0.95,3010
0.954,2579
0.957,2755
0.96,2286
0.963,1962
0.967,1911
0.97,2937
0.973,2253
0.977,2364
0.98,1834
0.983,2202
0.986,1743
0.99,2540
0.993,2833
0.996,2363
0.999,2579
1.003,2625
1.006,2800
1.009,2227
1.013,2515
1.016,2943
1.019,2379
1.022,2734
1.026,2902
1.029,2234
1.032,2256
1.036,2383
1.039,2284
1.042,2728
1.045,2083
1.049,2431
1.052,1823
1.055,2632
1.058,2938
1.062,1607
1.065,2238
1.068,2386
1.072,2619
1.075,2708
1.078,1956
1.081,2117
1.085,2272
1.088,2709
1.091,2627
1.095,1710
1.098,1977
1.101,2903
1.104,2415
1.108,2771
1.111,2722
1.114,2137
1.118,1515
1.121,2287
1.124,2382
1.127,2092
1.131,1949
1.134,2655
1.137,2116
1.14,2547
1.144,2320
1.147,2401
1.15,2355
1.154,2538
1.157,2216
1.16,1684
1.163,1989
1.167,2067
1.17,1674
1.173,2171
1.177,2490
1.18,2438
1.183,2336
1.186,2291
1.19,2198
1.193,2394
1.196,2182
1.2,2248
1.203,1398
1.206,1885
1.209,2093
1.213,2104
1.216,1812
1.219,2315
1.222,2102
1.226,2937
1.229,2182
1.232,2654
1.236,2478
1.239,2192
1.242,2481
1.245,2973
1.249,2727
1.252,2038
1.255,2445
1.259,2539
1.262,2397
1.265,2038
1.268,3201
1.272,2599
1.275,2304
1.278,2840
1.281,1952
1.285,1744
1.288,2488
1.291,2563
1.295,2376
1.298,2330
1.301,2772
1.304,1709
1.308,1839
1.311,2463
1.314,2321
1.318,2283
1.321,2006
1.324,2787
1.327,2223
1.331,2206
1.334,2536
1.337,2206
1.341,2638
1.344,2313
1.347,2061
1.35,2410
1.354,1480
1.357,2119
1.36,1622
1.363,2802
1.367,1657
1.37,1487
1.373,1952
1.377,2160
1.38,2656
1.383,2489
1.386,1795
1.39,2038
1.393,2504
1.396,2575
1.4,2845
1.403,2236
1.406,2438
1.409,1827
1.413,2216
1.416,2041
1.419,1854
1.422,2105
1.426,2587
1.429,2636
1.432,1545
1.436,2060
1.439,2207
1.442,2670
1.445,2375
1.449,2036
1.452,2470
1.455,2815
1.459,2234
1.462,1801
1.465,1827
1.468,1680
1.472,2055
1.475,2013
1.478,2313
1.482,1866
1.485,2304
1.488,1552
1.491,1940
1.495,1990
1.498,2432
1.501,2250
1.504,2281
1.508,1960
1.511,1885
1.514,1904
1.518,2075
1.521,2110
1.524,2118
1.527,2140
1.531,2286
1.534,1578
1.537,2152
1.541,2031
1.544,1955
1.547,1831
1.55,1858
1.554,1819
1.557,2430
1.56,1868
1.564,1829
1.567,1679
1.57,2006
1.573,2132
1.577,2290
1.58,1899
1.583,2350
1.586,1714
1.59,2482
1.593,1850
1.596,1951
1.6,1969
1.603,1484
1.606,1732
1.609,2779
1.613,2320
1.616,2001
1.619,2030
1.623,2423
1.626,2251
1.629,1861
1.632,2235
1.636,2121
1.639,1680
1.642,1882
1.645,2225
1.649,1792
1.652,2189
1.655,1765
1.659,2292
1.662,2128
1.665,2098
1.668,2515
1.672,2505
1.675,1677
1.678,2278
1.682,2354
1.685,1923
1.688,1951
1.691,1732
1.695,2259
1.698,2670
1.701,1575
1.705,2762
1.708,1842
1.711,1602
1.714,1564
1.718,1274
1.721,1717
1.724,2148
1.727,2947
1.731,1867
1.734,2546
1.737,2101
1.741,1902
1.744,1966
1.747,2301
1.75,1939
1.754,1464
1.757,1912
1.76,2073
1.764,2659
1.767,1672
1.77,2282
1.773,1750
1.777,2099
1.78,2485
1.783,2509
1.787,1954
1.79,2205
1.793,2273
1.796,1994
1.8,2152
1.803,2560
1.806,1805
1.809,2388
1.813,1861
1.816,2041
1.819,1767
1.823,1982
1.826,1844
1.829,2008
1.832,2120
1.836,2472
1.839,2177
1.842,1337
1.846,1815
1.849,1887
1.852,2288
1.855,2204
1.859,2186
1.862,2087
1.865,2068
1.868,2324
1.872,1957
1.875,2194
1.878,2319
1.882,2142
1.885,2023
1.888,1811
1.891,1845
1.895,2259
1.898,1397
1.901,2021
